REF_ID,COLL_METHOD,GEAR_NOTES,COLL_NOTES,FIELD_PRES_METH_TYPE,FIELD_PRES_CHEM,FIELD_CHEM_PCT,FIELD_PRES_PHYS_METH,FIELD_PRES_NOTES,LAB_PRES_METH_TYPE,LAB_PRES_CHEM,LAB_CHEM_PCT,LAB_PRES_PHYS_METH,LAB_PRES_NOTES,DIET_ANALYSIS_METHODS,DIET_NOTES
47b,Stretched gill nets,"3, 4  and 5 in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47b,Creel catch,Catch done by sports fisherman and commercial fisherman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46b,Purse Seine,"Seine Net is 16,000 meshes long and 1,000 meshes wide.  Completed, the net is 1,125 ft (342.9 m) long and 85 ft (25.908 m) deep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22g,multiple opening/closing net and environmental sensing system - MOCNESS,"MOCNESS was equipped with 1.0 by 1.4 m, 505 µm mesh nitex nets with 0.25 by 0.35 m, 67 µm mesh nets nested within. Larvae collected at 0600, 1200, 1800, 2400 h local time.",NA,chemical,formaldehyde buffered with sodium borate (pH > 8.0),5,NA,NA,NA,NA,NA,NA,NA,NA,NA
22g,multiple opening/closing net and environmental sensing system - MOCNESS,"MOCNESS was equipped with 1.0 by 1.4 m, 505 µm mesh nitex nets with 0.25 by 0.35 m, 67 µm mesh nets nested within. Larvae collected at 0600, 1200, 1800, 2400 h local time.",NA,chemical,formaldehyde buffered with sodium borate (pH > 8.0),5,NA,NA,NA,NA,NA,NA,NA,NA,NA
22g,multiple opening/closing net and environmental sensing system - MOCNESS,"MOCNESS was equipped with 1.0 by 1.4 m, 505 µm mesh nitex nets with 0.25 by 0.35 m, 67 µm mesh nets nested within. Larvae collected at 0600, 1200, 1800, 2400 h local time.",NA,chemical,formaldehyde buffered with sodium borate (pH > 8.0),5,NA,NA,NA,NA,NA,NA,NA,NA,NA
11m,NA,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11m,recreational hook and line,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11m,commercial haul seines,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11m,recreational hook and line,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11m,commercial haul seines,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
7m,collected from local charter boats in port,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
7m,collected from local charter boats in port,Stomachs and gonads were placed in labeled cloth bags or cheesecloth.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
48s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61s,multiple opening/closing net and environmental sensing system - MOCNESS,"MOCNESS was equipped with 1.0 by 1.4 m, 505 µm mesh nitex nets with 0.25 by 0.35 m, 67 µmmesh nets nested within. Larvae collected at 0600, 1200, 1800, 2400 h local time.",NA,chemical,formalin,5,NA,buffered,NA,NA,NA,NA,NA,NA,NA
61s,multiple opening/closing net and environmental sensing system - MOCNESS,"MOCNESS was equipped with 1.0 by 1.4 m, 505 µm mesh nitex nets with 0.25 by 0.35 m, 67 µmmesh nets nested within. Larvae collected at 0600, 1200, 1800, 2400 h local time.",NA,chemical,formalin,5,NA,buffered,NA,NA,NA,NA,NA,NA,NA
28f,spear,NA,NA,physical,NA,NA,freezer,NA,NA,NA,NA,NA,NA,NA,NA
28f,spear,NA,NA,chemical,formalin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28f,slurp gun,NA,NA,physical,NA,NA,freezer,NA,NA,NA,NA,NA,NA,NA,NA
28f,slurp gun,NA,NA,chemical,formalin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28f,hook and line,NA,NA,physical,NA,NA,freezer,NA,NA,NA,NA,NA,NA,NA,NA
28f,hook and line,NA,NA,chemical,formalin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28f,trapping blennies in barnacle shells,NA,NA,physical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28f,trapping blennies in barnacle shells,NA,NA,chemical,formalin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
28c,NA,stomach-content analysis were performed using drum that were caught by local fishermen and those turned in at rodeos along the Mississippi Gulf coast.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16m,gill net,"3 boats used - 16ft airdrive powered by a 250hp Lycoming aircraft engine for extremely shallow areas, 16ft fiberglass boat powered by a 60hp outboard motor for deeper areas, 16ft flat-bottom skiff powered by 50hp outboard motor.  5000 ft of gill nets ranged  in length between 100 and 300 feet with mesh sizes of 4, 5, and 7 inch stretch.",NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
16m,trammel nets,2 occasions with 600 ft trammel net.,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
17r,Trammel nets,200 yard trammel net used,NA,NA,NA,NA,NA,Stomaches were preserved for later identification,NA,NA,NA,NA,NA,NA,NA
17r,Trawl,"Because of size selectivity of the trammel net (fish 6.0 inches or larger in length), additional sampling of smaller fish and crustaceans were collected by a 16' otter trawl and a 6' bobbinet were used. ",NA,NA,NA,NA,NA,Stomaches were preserved for later identification,NA,NA,NA,NA,NA,NA,NA
18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Trawl,10 foot and 12 foot shrimp crawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Bag Seine,"20 foot, 60 foot and 100 foot bag seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Bar Seine,6 foot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Trammel nets,1200 foot trammel net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Gill net,1500 foot gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Beach seine ,900 foot beach seine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Rod and reel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30p,Plankton net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20d,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,NA,NA
20d,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,NA,NA
49s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37c,Trawl,10 foot trawl,Sampling time was usually 5 minutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38c,Trammel net,600 feet by 4 feet deep of 2 1/2 stretch mesh nets were used to collect fish for tagging.  ,"The ""strike"" method used for obtaining fish.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12d,Trawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12d,Trammel Net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12d,Seine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12d,Hook and line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12d,Push Net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gill Net,NA,NA,NA,NA
46b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purse Seine,"Sein Net is 16,000 meshes long and 1,000 meshes wide.  Completed, the net is 1,125 ft (342.9 m) long and 85 ft (25.908 m) deep",NA,NA,NA
51b,chemical,formalin,10,NA,digestive tract contents were preserved in 70% ethyl alcohol,NA,NA,NA,NA,NA,Issacs Kidd Mid-water trawl,NA,NA,NA,NA
51b,chemical,formalin,10,NA,digestive tract contents were preserved in 70% ethyl alcohol,NA,NA,NA,NA,NA,Benthic Skimmer,NA,NA,NA,NA
4d,chemical,Alkaline formalin,NA,NA,Perserved shortly after capture,NA,NA,NA,NA,NA,Trawls,Injections of Alkaline formalin method (borax solution) into the lumen shortly after capture was proven ineffective  and was abandoned. ,NA,NA,NA
4d,chemical,Alkaline formalin,NA,NA,Perserved shortly after capture,NA,NA,NA,NA,NA,Seines,Injections of Alkaline formalin method (borax solution) into the lumen shortly after capture was proven ineffective  and was abandoned. ,NA,NA,NA
10d,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,hook and line,caught by sport fishermen,NA,NA,NA
10d,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,hook and line,caught by sport fishermen,NA,NA,NA
20d,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,NA,NA
20d,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,NA,NA
20d,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,NA,NA
23d,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,trawl,NA,NA,NA,NA
23d,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,trawl,NA,NA,NA,NA
11f,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,trammel nets,"Sport fish and other fin-fishes were sampled with the 200 yard trammel net (5 feet deep, 1 1/4 inch mesh square, 2 1/2 inch mesh stretched) from five areas in the Biloxi Marsh. ",NA,NA,NA
11f,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,trammel nets,"Sport fish and other fin-fishes were sampled with the 200 yard trammel net (5 feet deep, 1 1/4 inch mesh square, 2 1/2 inch mesh stretched) from five areas in the Biloxi Marsh. ",NA,NA,NA
5g,chemical,neutral buffered formalin in sea water,10,NA,Narcotized with isotonic magnesium sulfate if necessary,NA,NA,NA,NA,NA,trawl,"Megafauna sampling was performed with a standard 9 m, semi-balloon otter trawl with 60 cm steel doors, 3.8 cm stretch mesh, and 1.3 cm cod end mesh. Target trawling times were one hour at stations shallower than 1300 m, and two or more hours at deeper stations.",NA,NA,NA
5g,chemical,neutral buffered formalin in sea water,10,NA,Narcotized with isotonic magnesium sulfate if necessary,NA,NA,NA,NA,NA,trawl,"Megafauna sampling was performed with a standard 9 m, semi-balloon otter trawl with 60 cm steel doors, 3.8 cm stretch mesh, and 1.3 cm cod end mesh. Target trawling times were one hour at stations shallower than 1300 m, and two or more hours at deeper stations.",NA,NA,NA
5g,chemical,neutral buffered formalin in sea water,10,NA,Narcotized with isotonic magnesium sulfate if necessary,NA,NA,NA,NA,NA,trawl,"Megafauna sampling was performed with a standard 9 m, semi-balloon otter trawl with 60 cm steel doors, 3.8 cm stretch mesh, and 1.3 cm cod end mesh. Target trawling times were one hour at stations shallower than 1300 m, and two or more hours at deeper stations.",NA,NA,NA
28g,NA,NA,NA,NA,All species were killed and towed to dock for measurements and dissections,NA,NA,NA,NA,NA,Hook and line,Hooks were baited sith stingray fin,NA,NA,NA
28g,NA,NA,NA,NA,All species were killed and towed to dock for measurements and dissections,NA,NA,NA,NA,NA,Harpoon,NA,NA,NA,NA
32g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minnow seine,Measured 50 ft long with reinforced webbing in the middle. The mesh was approximately 1/3 in stretched. A total of 178 hauls in 3 locations.,NA,NA,NA
32g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,otter trawl,"Regular otter trawl net as is used in the shrimp fishery, except it was somewhat smaller. It had a wingspread of 30ft at the mouth and a mesh of 1 1/2 in stretched. A total of 109 hauls in 3 locations.",NA,NA,NA
32g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trammel nets,Net was 1200 ft long and was used with the net skiff.  The depth of the net was 4 ft. The mesh was 1 3/4 in stretched. A total of 114 hauls in 2 locations.,NA,NA,NA
32g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,beach seine,Seine was 300 ft in length. The mesh was 2 in stretched and the depth of the net was 3 ft. A total of 23 seins made.,NA,NA,NA
4h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand nets,NA,NA,NA,NA
4h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fish traps,NA,NA,NA,NA
4h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spears,NA,NA,NA,NA
4h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angling,NA,NA,NA,NA
4h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotenone treatment,NA,NA,NA,NA
